,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
667,1,2017,Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),transcription factor,gene regulation,chromatin,chromatin structure,embryonic stem cells,60404.0,6.0,BIOLOGICAL SCIENCES
668,1,2017,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,malaria,malaria drug resistance,molecular biology,drug resistance,parasitology,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
669,1,2017,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),medical oncology,cancer therapy,immunotherapy,tumour immunity,tumour immunotherapy,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
670,1,2017,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,hippocampus,synaptic mechanisms,schizophrenia,mouse models,memory,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
671,3,2017,Basic Science,NANOTECHNOLOGY,Nanomedicine,nanotechnology,drug delivery systems,drug targeting,human immunodeficiency virus (HIV),diabetes,100709.0,10.0,TECHNOLOGY
672,3,2017,Basic Science,NEUROSCIENCES,Central Nervous System,brain mapping,spinal cord,brain imaging,nervous system development,neuroanatomy,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
673,3,2017,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Microbiology,clinical malaria,plasmodium,pathogenesis,clinical research,endothelial dysfunction,110303.0,11.0,MEDICAL AND HEALTH SCIENCES
674,3,2017,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,G protein-coupled receptors,relaxin,drug discovery,structure-based drug design,peptides,111501.0,11.0,MEDICAL AND HEALTH SCIENCES
675,3,2017,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,hormones,women's health,androgens,oestrogen,ageing population,110306.0,11.0,MEDICAL AND HEALTH SCIENCES
676,3,2017,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cell Development, Proliferation and Death",cell division,signalling pathways,apoptosis,autophagy,inflammation,60103.0,6.0,BIOLOGICAL SCIENCES
677,3,2017,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),congenital malformations,developmental genetics,congenital heart disease,environment,gene discovery,60403.0,6.0,BIOLOGICAL SCIENCES
678,3,2017,Basic Science,NEUROSCIENCES,Cellular Nervous System,epigenetics,neuroscience,anxiety disorders,memory,molecular biology,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
679,3,2017,Clinical Medicine and Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,diets for weight loss,binge eating disorder,energy expenditure,osteoporosis,sarcopenia,111699.0,11.0,MEDICAL AND HEALTH SCIENCES
680,3,2017,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,innate immunity,immune  development,immune protection,T cell immunity,T cell development,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
681,3,2017,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiovascular medicine and Haematology nec,fetus,pregnancy complications,hypoxia,microrna,magnetic resonance imaging (MRI),,,
682,3,2017,Basic Science,GENETICS,Gene Expression (incl. Microarray and other genome-wide approaches),protein synthesis,RNA binding proteins,RNA metabolism,messenger RNA (mRNA),genomics,60405.0,6.0,BIOLOGICAL SCIENCES
683,3,2017,Basic Science,GENETICS,Genome Structure and Regulation,breast cancer,genetic susceptibility,gene discovery,gene regulation,cancer prevention,60407.0,6.0,BIOLOGICAL SCIENCES
684,3,2017,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Haematological Tumours,chronic myeloid leukaemia (CML),leukaemia,kinase inhibitors,targeted therapy,biomarkers,111206.0,11.0,MEDICAL AND HEALTH SCIENCES
685,3,2017,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,leukocyte trafficking,inflammation,kidney,glomerulonephritis,regulatory T cells,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
686,3,2017,Basic Science,OTHER PHYSICAL SCIENCES,Biological Physics,mechanotransduction,ion channels,patch clamp,confocal microscopy,liposomes,29901.0,2.0,PHYSICAL SCIENCES
687,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,illicit drug use,burden of disease,substance dependence,mental health,epidemiology,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
688,3,2017,Clinical Medicine and Science,CLINICAL SCIENCES,Podiatry,osteoarthritis,gait,footwear,mobility,pain,110318.0,11.0,MEDICAL AND HEALTH SCIENCES
689,3,2017,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Protein Trafficking,endosomes,caveolae,synaptic mechanisms,X-ray crystallography,electron microscopy,60108.0,6.0,BIOLOGICAL SCIENCES
690,3,2017,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiovascular medicine and Haematology nec,cardiovascular risk factors,lifestyle,omega-3 fatty acids,oxidative stress,inflammatory mediators,,,
691,3,2017,Clinical Medicine and Science,PSYCHOLOGY,"Health, Clinical and Counselling Psychology",child health,mental disorder,early intervention,neurodevelopment,knowledge,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
692,3,2017,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),heart failure,diastolic dysfunction,ageing,animal model,clinical research,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
693,3,2017,Basic Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),kidney development,stem cells,disease modelling,stem cell therapy,kidney disease,100404.0,10.0,TECHNOLOGY
694,3,2017,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,pregnancy outcome,child health,asthma,fetus,placenta,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
695,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,sexually-transmitted infections (STI),primary care,intervention,epidemiology,public health,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
696,3,2017,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,colorectal carcinoma,classification,molecular markers,pathogenic mechanisms,combination therapy,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
697,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,chronic diseases,health services research,Aboriginal health,data linkage,implementation,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
698,3,2017,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Haematology,haematopoietic stem cells,bone marrow stroma,haematopoietic stem cell transplantation,leukaemia,spinal cord injury,110202.0,11.0,MEDICAL AND HEALTH SCIENCES
699,3,2017,Basic Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",magnetic resonance imaging (MRI),psychosis,schizophrenia and related disorders,brain disorders,brain imaging,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
700,3,2017,Clinical Medicine and Science,GENETICS,Neurogenetics,genomics,neuromuscular diseases,diagnosis,vesicle trafficking,protein aggregation,60410.0,6.0,BIOLOGICAL SCIENCES
701,3,2017,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,cerebral palsy treatments,brain injury,fetal growth restriction,neuroprotection,cerebral palsy,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
702,3,2017,Basic Science,NEUROSCIENCES,Cellular Nervous System,Alzheimer disease,mouse models,microtubule associated protein (MAP),neurofibrillary tangles,synapse,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
703,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,road trauma,road safety,injury prevention,population health,public health,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
704,3,2017,Health Services Research,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),mental health,mood disorders,suicide prevention,health services research,internet service delivery,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
705,3,2017,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,plasmodium,molecular biology,protein trafficking,animal model,cell biology,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
706,3,2017,Basic Science,IMMUNOLOGY,Cellular Immunology,immunology,cellular immunity,virology,human immunodeficiency virus (HIV),influenza,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
707,3,2017,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),psychosis,schizophrenia and related disorders,outcomes research,longitudinal study,clinical trial,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
708,3,2017,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),cardiac disease,aspirin,statins,quality of care,clinical outcome,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
709,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,injury prevention,trauma,Aboriginal health,developing countries,health services research,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
710,3,2017,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics and Reproductive Medicine not elsewhere classified,labour,premature labour,stillbirth,placenta,Aboriginal,111499.0,11.0,MEDICAL AND HEALTH SCIENCES
711,3,2017,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,sleep disorders,sleep breathing disorders,respiratory diseases,epidemiology,sleep apnoea,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
712,3,2017,Basic Science,IMMUNOLOGY,Cellular Immunology,T cell activation,T cell memory,stromal cells,infection,imaging,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
713,3,2017,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),stem cell biology,muscle development,muscle disease,muscle degeneration,muscle regeneration,60403.0,6.0,BIOLOGICAL SCIENCES
714,3,2017,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)",epithelium,adhesion mechanisms,cytoskeleton,cell signalling,inflammation,60106.0,6.0,BIOLOGICAL SCIENCES
715,3,2017,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,neuropsychiatry,bioinformatics,neuroimaging,connectivity,schizophrenia and related disorders,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
716,3,2017,Basic Science,IMMUNOLOGY,Tumour Immunology,tumour immunotherapy,cancer therapy,gene therapy,immunology,T cells,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
717,3,2017,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),blood pressure regulation,kidney,renin-angiotensin system (RAS),sympathetic nervous system,sex differences,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
718,3,2017,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,early psychosis,psychotic disorders,schizophrenia and related disorders,schizophrenia,youth,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
719,3,2017,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Proteins and Peptides,peptides,ion channels,drug development,pain,stroke,30406.0,3.0,CHEMICAL SCIENCES
720,3,2017,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,health systems,health services research,chronic diseases,implementation,epidemiology,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
721,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,alcohol abuse,injecting drug use,amphetamine,opioid dependence,intervention study,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
722,3,2017,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,economic evaluation,quality of life,cardiovascular disease,measurement,cost-effectiveness,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
723,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,human immunodeficiency virus (HIV),hepatitis C infection,disease prevention,epidemiology,surveillance,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
724,3,2017,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,cancer metastasis,mouse models,signal transduction,biosensor,extracellular matrix,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
725,3,2017,Clinical Medicine and Science,NUTRITION AND DIETICS,Clinical and Sports Nutrition,dietary intervention,irritable bowel syndrome (IBS),nutritional therapy,gastroenterology,carbohydrates,111101.0,11.0,MEDICAL AND HEALTH SCIENCES
726,3,2017,Basic Science,NEUROSCIENCES,Cellular Nervous System,dynamin,endocytosis,proteomics,neurochemistry,tumour markers,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
727,3,2017,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),cardiovascular disease,diabetes mellitus,clinical trial,evidence-based health care,translational research,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
728,3,2017,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Parasitology,vaccine design,therapeutics,immune protection,systems biology,infectious diseases,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
729,3,2017,Public Health,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,epidemiology,breast cancer,twin studies,statistics,risk prediction,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
730,3,2017,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,translational research,biomarkers,cancer genetics,DNA sequencing,oncology,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
731,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,Aboriginal health,cardiovascular disease,diabetes,psychosocial factors,intervention,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
732,3,2017,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,emerging diseases,infection control,risk assessment,epidemiology,efficacy,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
733,3,2017,Basic Science,GENETICS,Neurogenetics,genetics,neurobiology,molecular neuroscience,obesity,neurotransmission,60410.0,6.0,BIOLOGICAL SCIENCES
734,3,2017,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),mental health,psychosis,schizophrenia,prevention,risk factors,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
735,3,2017,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),genetic association,genetic epidemiology,osteoporosis,statistical genetics,gene discovery,60412.0,6.0,BIOLOGICAL SCIENCES
736,3,2017,Basic Science,IMMUNOLOGY,Cellular Immunology,mass spectrometry,antigen presentation,antigen processing,T cells,epitopes,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
737,3,2017,Health Services Research,NURSING,Midwifery,maternal health,newborn,evidence-based clinical practice,health services research,obstetrics,111006.0,11.0,MEDICAL AND HEALTH SCIENCES
738,3,2017,Clinical Medicine and Science,CLINICAL SCIENCES,Rehabilitation and Therapy (excl. Physiotherapy),brain injury,psychosocial,speech pathology,rehabilitation,multidisciplinary,110321.0,11.0,MEDICAL AND HEALTH SCIENCES
739,3,2017,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,glycobiology,bacterial toxins,bacterial virulence factors,bacterial genetics,inhibitor design,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
740,3,2017,Basic Science,OPHTHALMOLOGY and OPTOMETRY,Vision Science,genetic risk factors,functional genomics,age-related,macular degeneration,cornea,111303.0,11.0,MEDICAL AND HEALTH SCIENCES
741,3,2017,Basic Science,GENETICS,Genomics,genomics,medical genomics,sequencing,bioinformatics,cancer genetics,60408.0,6.0,BIOLOGICAL SCIENCES
742,3,2017,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Haematological Tumours,leukaemia,oncogenesis,methylation,stem cell biology,myelodysplasia,111206.0,11.0,MEDICAL AND HEALTH SCIENCES
743,3,2017,Basic Science,IMMUNOLOGY,Immunogenetics (incl. Genetic Immunology),immunology,molecular biology,memory T-cells,regulatory T cells,infection control,110706.0,11.0,MEDICAL AND HEALTH SCIENCES
744,3,2017,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,intestine,helminth infection,immunology,obesity,repair,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
745,3,2017,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,diabetes mellitus,type 1 diabetes mellitus (insulin-dependent diabetes mellitus),type 2 diabetes mellitus (non-insulin dependent diabetes mellitus),transplantation,islet transplantation,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
746,3,2017,Basic Science,IMMUNOLOGY,Cellular Immunology,CD8 T cells,cytokine biology,infection,lymphoma,cancer immunotherapy,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
747,3,2018,Basic Science,,Structural Biology (incl. Macromolecular Modelling), immune system , perforin , electron microscopy , cell biology , cancer biology,60112.0,6.0,BIOLOGICAL SCIENCES
748,3,2018,Basic Science,,Developmental Genetics (incl. Sex Determination), gonadal development , gonadal dysgenesis , testis development , sex determination , ovary,60403.0,6.0,BIOLOGICAL SCIENCES
749,3,2018,Clinical Medicine and Science,,Clinical Sciences not elsewhere classified, respiratory muscles , chronic obstructive pulmonary disease (copd) , spinal cord injury , neurophysiology , respiratory control,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
750,3,2018,Clinical Medicine and Science,,Physiotherapy, physiotherapy , osteoarthritis , exercise , musculoskeletal , rehabilitation,110317.0,11.0,MEDICAL AND HEALTH SCIENCES
751,3,2018,Basic Science,,Immunology not elsewhere classified, infectious diseases , malaria , leishmaniasis , immune dysfunction , t cell immunity,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
752,3,2018,Clinical Medicine and Science,,Nanobiotechnology, antibody engineering , nanotechnology , imaging , drug delivery systems , biotechnology,100703.0,10.0,TECHNOLOGY
753,3,2018,Health Services Research,,Public Health and Health Services not elsewhere classified, stroke , stroke outcome , health care evaluation , economic evaluation , health care delivery,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
754,3,2018,Basic Science,,Solid Tumours, cancer research , innate immunity , mouse models , inflammation , targeted therapy,111209.0,11.0,MEDICAL AND HEALTH SCIENCES
755,3,2018,Clinical Medicine and Science,,Medical Physiology not elsewhere classified, physical activity , sedentary behaviour , glucose metabolism , lipid metabolism , acute coronary syndromes,111699.0,11.0,MEDICAL AND HEALTH SCIENCES
756,3,2018,Clinical Medicine and Science,,Allergy, lung disease , asthma , cystic fibrosis , microbial ecology , transplantation biology,110701.0,11.0,MEDICAL AND HEALTH SCIENCES
757,3,2018,Basic Science,,Medical Virology, mosquito-borne disease , virus pathogenesis , viral immunity , musculoskeletal disorders , vaccines,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
758,3,2018,Basic Science,,Analytical Biochemistry, neurodegenerative disorders , protein aggregation , protein folding , biomarkers , huntington's disease,60101.0,6.0,BIOLOGICAL SCIENCES
759,3,2018,Basic Science,,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)", attention deficit hyperactivity disorder (adhd) , attention , cognition , molecular genetics , brain imaging,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
760,3,2018,Basic Science,,Central Nervous System, stem cells , neurodegenerative disorders , retina , brain , disease modelling,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
761,3,2018,Basic Science,,Basic Pharmacology, g protein-coupled receptors , protein structure , cell signalling , drug discovery , metabolic disease,111501.0,11.0,MEDICAL AND HEALTH SCIENCES
762,3,2018,Basic Science,,Cellular Immunology, t cell immunity , malaria vaccine , cellular immunity , vaccine , antigen presentation,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
763,3,2018,Basic Science,,Cellular Immunology, antigen presentation , dendritic cell , protein trafficking , immunosuppression , tumour immunotherapy,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
764,3,2018,Clinical Medicine and Science,,Toxicology (incl. Clinical Toxicology), toxins , envenomation , poisoning , coagulation disorders , antibody therapy,111506.0,11.0,MEDICAL AND HEALTH SCIENCES
765,3,2018,Public Health,,Health Promotion, physical activity , intervention , adolescent health , child health , school health promotion,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
766,3,2018,Basic Science,,Genomics, sequencing , transcriptional regulation , cancer biology , skeletal muscle , systems biology,60408.0,6.0,BIOLOGICAL SCIENCES
767,3,2018,Basic Science,,Medical Parasitology, parasitology , metabolomics , drug discovery , metabolism , host/pathogen interaction,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
768,3,2018,Basic Science,,Genetics not elsewhere classified, genetic association , eye disease , glaucoma , statistical genetics , cancer genetics,60499.0,6.0,BIOLOGICAL SCIENCES
769,3,2018,Health Services Research,,Public Health and Health Services not elsewhere classified, decision making , patient education , communication skills , evidence-based health care , evidence-based clinical practice,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
770,3,2018,Basic Science,,Biochemistry and Cell Biology not elsewhere classified, mitochondria , gene expression , disease modelling , bioinformatics , rna,60199.0,6.0,BIOLOGICAL SCIENCES
771,3,2018,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), epigenetics , chromatin , diabetes mellitus , transcriptional regulation , transcription factor,60404.0,6.0,BIOLOGICAL SCIENCES
772,3,2018,Clinical Medicine and Science,,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)", schizophrenia and related disorders , bipolar affective disorder , cognitive deficit , remediation , neuropsychology,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
773,3,2018,Basic Science,,Biologically Active Molecules, drug discovery , drug design , drug development , medicinal chemistry , positron emission tomography (pet),30401.0,3.0,CHEMICAL SCIENCES
774,3,2018,Basic Science,,Central Nervous System, neural transplantation , stem cell biology , parkinson disease , neural development , neural stem cell,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
775,3,2018,Clinical Medicine and Science,,Medical Parasitology, scabies , skin infections , genomics , drug discovery , microbial pathogenesis,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
776,3,2018,Basic Science,,Medical and Health Sciences not elsewhere classified, osteoblast , bone formation , bone development , bone remodelling , cytokines,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
777,3,2018,Basic Science,,Reproduction, sperm function , sperm function testing , male infertility , male reproduction , fertilisation,111404.0,11.0,MEDICAL AND HEALTH SCIENCES
778,3,2018,Public Health,,Epidemiology, injecting drug use , viral hepatitis , prevention , surveillance , epidemiology,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
779,3,2018,Basic Science,,Tumour Immunology, inflammation , vaccines , t cells , mental health , diagnostic marker,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
780,3,2018,Basic Science,,Developmental Genetics (incl. Sex Determination), sex determination , sox genes , animal model , signalling pathways , parkinson disease,60403.0,6.0,BIOLOGICAL SCIENCES
781,3,2018,Clinical Medicine and Science,,Neurosciences not elsewhere classified, stroke rehabilitation , exercise therapy , neuroplasticity , health services research , multidisciplinary,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
782,3,2018,Clinical Medicine and Science,,Nutrition and Dietetics not elsewhere classified, omega-3 fatty acids , pregnancy , premature infant , randomised controlled trial (rct) , nutrition supplementation,111199.0,11.0,MEDICAL AND HEALTH SCIENCES
783,3,2018,Basic Science,,Foetal Development and Medicine, premature infant , neonate , birth asphyxia , respiratory distress syndrome (rds) , resuscitation,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
784,3,2018,Basic Science,,Synthetic Biology, gene expression , protein engineering , rna , structure-function , antibiotic resistance,60113.0,6.0,BIOLOGICAL SCIENCES
785,3,2018,Basic Science,,Medical Parasitology, malaria , host/pathogen interaction , invasion biology , antibody production , vaccine design,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
786,3,2018,Basic Science,,Biostatistics, bioinformatics , statistics , gene expression , cancer biology , genomics,10402.0,1.0,MATHEMATICAL SCIENCES
787,3,2018,Basic Science,,Central Nervous System, appetite regulation , neuroanatomy , behavioural science , motivation , hypothalamus,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
788,3,2018,Public Health,,Public Health and Health Services not elsewhere classified, infectious diseases , gastrointestinal infections , water-borne diseases , travel health , epidemiology,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
789,3,2018,Public Health,,Medical Parasitology, plasmodium , epidemiology , serology , molecular epidemiology , genetic epidemiology,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
790,3,2018,Public Health,,Public Health and Health Services not elsewhere classified, population health , tropical disease , sexually-transmitted infections (sti) , human papillomavirus (hpv) , intervention,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
791,3,2018,Health Services Research,,Public Health and Health Services not elsewhere classified, health literacy , community health , questionnaire design , health services research , community development,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
792,3,2018,Basic Science,,Cellular Immunology, t cell receptor , receptor signalling , signal transduction , membrane biology , molecular imaging,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
793,3,2018,Clinical Medicine and Science,,Oncology and Carcinogenesis not elsewhere classified, cancer research , breast cancer , prostate cancer , prevention , molecular basis of disease,111299.0,11.0,MEDICAL AND HEALTH SCIENCES
794,3,2018,Clinical Medicine and Science,,Medical and Health Sciences not elsewhere classified, microbiology , immune dysfunction , metabolic syndrome , cancer biology , neonatal,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
795,3,2018,Basic Science,,Developmental Genetics (incl. Sex Determination), vascular development , lymphatics , gene discovery , zebrafish , angiogenesis,60403.0,6.0,BIOLOGICAL SCIENCES
796,3,2018,Basic Science,,Neurogenetics, disability , genomics , mutation analysis , sex differences , gene discovery,60410.0,6.0,BIOLOGICAL SCIENCES
797,3,2018,Clinical Medicine and Science,,Genomics, mitochondrial disease , genomics , translational research , disease modelling , targeted therapy,60408.0,6.0,BIOLOGICAL SCIENCES
798,3,2018,Basic Science,,Receptors and Membrane Biology, g protein-coupled receptors , structural biology , drug discovery , pharmacology , metabolic disease,60110.0,6.0,BIOLOGICAL SCIENCES
799,3,2018,Basic Science,,Immunology not elsewhere classified, b cells , t cell immunity , dendritic cell lineages , humoral immunity , transcription factor,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
800,3,2018,Basic Science,,Molecular Targets, epigenetics , cancer biology , transcriptional regulation , intestine , colorectal cancer treatment,111207.0,11.0,MEDICAL AND HEALTH SCIENCES
801,3,2018,Public Health,,Epidemiology, melanoma , skin cancer , cohort study , risk factors , prevention,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
802,3,2018,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy), mental illness , youth , novel therapies , diagnostic criteria , health services research,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
803,3,2018,Public Health,,Mental Health, suicide , suicide prevention , suicide risk , mental health , population studies,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
804,3,2018,Basic Science,,Cellular Immunology, germinal centre , immunologic memory , antibody , b cells , tolerance,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
805,3,2018,Basic Science,,Cellular Nervous System, synapse , neurodegeneration , vesicle transport , synuclein , neurotransmission,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
806,3,2018,Public Health,,Mental Health, alcohol use disorders , tobacco dependence , nicotine dependence , opioid dependence , drug dependence,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
